,TCGA-19-4065-02A-11R-2005-01,TCGA-19-0957-02A-11R-2005-01,TCGA-06-0152-02A-01R-2005-01,TCGA-14-1402-02A-01R-2005-01,TCGA-14-0736-02A-01R-2005-01,TCGA-06-5410-01A-01R-1849-01,TCGA-19-5960-01A-11R-1850-01,TCGA-14-0781-01B-01R-1849-01,TCGA-02-2483-01A-01R-1849-01,TCGA-06-2570-01A-01R-1849-01
ENSG00000233532,920,6,13,30,24,8,4,102,4,7
ENSG00000164794,329,32,552,38,147,31,71,6,6,36
ENSG00000144820,14,1002,9,19,3,6,55,56,0,2
ENSG00000233968,783,5,3,9,4,9,2,3,23,7
ENSG00000137745,228,1,694,1,5,1,5,0,56,4
ENSG00000196666,18,10,2,13,770,3,35,7,18,5
ENSG00000027644,759,46,45,33,151,60,6,28,3,18
ENSG00000128045,4,923,6,4,11,4,12,2,4,38
ENSG00000167244,2,1312,84,24,12,5,7,39,193,10
ENSG00000241351,0,8,11,145,1299,412,2,26,9,1
ENSG00000214897,0,0,2,0,472,0,0,1,0,1
ENSG00000239819,0,0,0,4,521,3,0,0,0,1
ENSG00000154478,870,83,116,93,73,43,79,1,5,24
ENSG00000268433,3,27,0,8,691,17,1,1,3,5
ENSG00000211668,2,53,11,53,949,95,1,16,11,1
ENSG00000211660,0,18,10,697,925,455,0,12,3,0
ENSG00000161798,27,59,62,633,962,34,281,186,3,5
ENSG00000282639,0,0,12,0,735,19,1,0,0,1
ENSG00000138207,158,106,143,94,1036,150,123,13,19,30
ENSG00000244437,2,16,10,59,1157,149,0,27,8,2
ENSG00000134020,96,523,29,186,642,41,101,64,24,24
ENSG00000211659,1,1,5,66,825,26,1,7,1,7
ENSG00000105509,1293,35,25,10,17,75,19,35,8,9
ENSG00000236197,8,119,9,1629,45,13,78,67,27,182
ENSG00000211679,26,46,29,515,1229,341,49,109,25,3
ENSG00000241644,60,185,52,171,1019,33,8,134,75,13
ENSG00000168333,6,1074,0,247,37,1,0,10,97,13
ENSG00000230838,1208,2,36,7,8,10,1,27,33,19
ENSG00000102970,0,4,1330,6,4,70,7,8,3,7
ENSG00000132840,358,342,174,44,783,119,91,18,16,34
ENSG00000165072,308,24,1433,130,61,112,93,40,46,19
ENSG00000231317,4,2,0,608,1,0,0,0,1,0
ENSG00000164707,162,103,465,45,1407,50,140,149,56,185
ENSG00000211673,2,27,12,92,1510,224,3,8,14,1
ENSG00000180613,34,959,8,217,178,23,30,5,4,15
ENSG00000167434,173,405,135,135,1624,145,212,45,122,166
ENSG00000189320,42,656,16,121,472,6,9,5,32,11
ENSG00000211898,1,77,20,1,1536,10,6,171,20,8
ENSG00000204542,0,1,3,1584,14,90,3,37,3,2
ENSG00000211653,8,4,15,668,1255,189,87,19,7,2
ENSG00000224184,30,15,1524,286,32,16,22,48,59,19
ENSG00000211669,8,8,4,28,877,6,0,0,3,0
ENSG00000211650,0,0,0,32,1266,57,3,1,1,0
ENSG00000227234,794,0,0,0,0,0,0,1,0,0
ENSG00000131203,25,0,1599,20,29,54,3,7,19,3
ENSG00000235207,13,2,7,1208,3,6,2,6,9,5
ENSG00000100362,681,26,36,623,464,121,27,2,10,7
ENSG00000211663,0,19,24,48,1586,122,2,19,8,3
ENSG00000170689,1727,52,4,72,13,54,36,41,9,2
ENSG00000155495,29,1228,1,0,1,1,3,0,14,1
ENSG00000115648,1827,121,42,23,77,54,13,69,21,27
ENSG00000168081,506,48,1431,69,578,165,97,2,50,83
ENSG00000211638,0,1,28,25,1542,76,4,8,1,1
ENSG00000188993,79,2368,70,26,15,23,78,64,65,73
ENSG00000211892,4,60,26,161,1540,32,4,41,41,12
ENSG00000123500,1520,22,11,27,9,15,13,13,2,3
ENSG00000247345,0,2,1,1,1193,3,7,0,2,0
ENSG00000211662,4,21,3,304,1669,134,2,7,5,1
ENSG00000006611,149,646,30,161,1940,145,165,30,34,77
ENSG00000211639,18,0,0,0,993,0,0,1,0,0
ENSG00000211642,0,3,7,9,1803,57,0,4,4,2
ENSG00000243466,7,43,12,1553,2758,1302,3,38,14,2
ENSG00000211666,2,254,12,234,2270,223,27,26,22,2
ENSG00000140563,3186,24,44,21,206,167,32,210,28,22
ENSG00000106341,35,43,22,12,1784,6,19,5,13,5
ENSG00000248184,2,4347,52,12,28,6,50,20,347,320
ENSG00000110887,7,16,3,25,1653,3,11,3,2,4
ENSG00000123838,81,6,47,5,2702,12,3,215,3,2
ENSG00000178602,79,69,28,235,2137,28,8,33,23,7
ENSG00000175868,24,17,0,2,2362,18,6,13,32,0
ENSG00000197594,4371,271,269,131,65,117,169,176,78,241
ENSG00000169248,30,24,3137,527,79,78,23,24,46,76
ENSG00000183036,768,781,139,294,2841,91,168,72,388,144
ENSG00000047936,2676,7,4,10,1,5,12,25,1,1
ENSG00000177508,4761,69,119,100,158,56,198,68,278,56
ENSG00000006128,735,137,2495,210,2144,260,325,5,154,176
ENSG00000122133,2784,2,1,2,1,3,3,5,3,0
ENSG00000211677,28,54,22,795,4316,384,2,61,39,15
ENSG00000211893,16,38,104,54,6541,956,25,187,32,7
ENSG00000211598,2,63,12,459,5572,675,5,59,20,7
ENSG00000226278,30,620,11,10,6815,17,14,1556,11,8
ENSG00000239951,12,10,28,567,5359,532,4,62,29,14
ENSG00000249307,92,970,70,856,7830,99,1022,785,184,613
ENSG00000196091,505,1569,186,3990,5043,335,529,1755,50,432
ENSG00000197430,230,8935,95,425,1298,1186,307,12,13,412
ENSG00000170421,5632,11,39,18,73,25,11,63,32,13
ENSG00000239855,3,0,1,30,3911,9,0,5,6,2
ENSG00000131771,1404,1073,825,1233,8247,425,1298,806,282,483
ENSG00000156234,421,4,158,24,5784,117,32,3,4,8
ENSG00000137809,14625,245,294,132,174,298,213,752,333,334
ENSG00000188257,376,7876,304,356,11056,1389,16,3063,77,130
ENSG00000171724,1880,1904,641,125,18390,502,1219,502,652,2852
ENSG00000165949,4365,1894,1560,11487,4634,1578,513,1087,1147,1140
ENSG00000213139,164,107,156,1324,12868,82,165,367,96,197
ENSG00000132465,13,90,100,2283,16035,1795,27,132,55,16
ENSG00000138755,90,69,15830,147,160,122,139,9,201,124
ENSG00000173432,214,322,662,360,22650,4075,9,687,30,66
ENSG00000141469,667,1633,49,475,12300,147,256,66,84,61
ENSG00000170290,512,2603,30,2084,15505,96,26,48,629,1128
ENSG00000129038,27415,337,1113,302,179,811,200,3064,265,164
ENSG00000211897,4,65,67,368,16438,451,10,168,32,10
ENSG00000114270,31907,219,1105,148,23,651,277,1538,305,1092
ENSG00000169245,154,102,22706,3656,895,269,197,291,226,417
ENSG00000101825,46084,439,1591,117,102,2713,177,5539,655,1168
ENSG00000175356,172,570,1255,468,29853,298,575,981,480,368
ENSG00000166741,7749,5892,668,10737,35881,2465,241,7750,979,274
ENSG00000211896,159,1352,414,5839,39738,3281,66,717,451,95
ENSG00000175782,861,59172,1328,1241,631,1180,813,1110,1256,1236
ENSG00000137441,13,759,77,252,45711,37,73,2164,57,27
ENSG00000211592,223,496,318,9994,64282,9074,142,1028,503,115
ENSG00000111581,1457,90941,2117,1324,415,1132,1934,1185,2711,1864
ENSG00000132434,1615,2832,77150,34863,5117,1290,4228,1713,4048,2896
ENSG00000135679,2720,139511,4017,3366,1690,4553,1723,5375,3569,3093
ENSG00000132432,4399,2629,62671,73380,11773,3645,2468,6383,5134,2166
ENSG00000163359,145767,2658,4185,540,410,4167,328,3475,1991,640
ENSG00000130635,178000,2292,7071,2128,248,5669,859,9816,3033,962
ENSG00000240583,2640,71274,5641,22766,168871,8446,27033,11259,6072,7705
ENSG00000108821,688102,5620,29933,2755,2169,27512,1229,31020,13036,5623
